,Unnamed: 0,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
0,0,I192082859,724,Auto Theft,AUTO THEFT,E18,519,,2019-10-13 09:28:24,2019,10,Sunday,9,Part One,LINCOLN ST,42.25951765,-71.12156299,"(42.25951765, -71.12156299)"
1,1,I192082751,724,Auto Theft,AUTO THEFT,E18,493,,2019-10-12 20:11:26,2019,10,Saturday,20,Part One,METROPOLITAN AVE,42.26209214,-71.11670964,"(42.26209214, -71.11670964)"
2,2,I192082680,727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,D14,794,,2019-10-12 15:12:43,2019,10,Saturday,15,Part One,ALLSTON ST,42.35237455,-71.13509584,"(42.35237455, -71.13509584)"
3,3,I192082577,724,Auto Theft,AUTO THEFT,D4,130,,2019-10-12 04:41:52,2019,10,Saturday,4,Part One,SAINT JAMES AVE,42.34947586,-71.0764015,"(42.34947586, -71.07640150)"
4,4,I192079582,727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,A15,47,,2019-10-02 08:08:49,2019,10,Wednesday,8,Part One,N MEAD ST,42.38184582,-71.06655134,"(42.38184582, -71.06655134)"
5,5,I192078648,3114,Investigate Property,INVESTIGATE PROPERTY,B3,427,,2019-09-29 06:39:00,2019,9,Sunday,6,Part Three,WILMORE ST,42.27796370000001,-71.09246318,"(42.27796370, -71.09246318)"
6,6,I192078647,3115,Investigate Person,INVESTIGATE PERSON,A1, ,,2019-09-29 03:45:00,2019,9,Sunday,3,Part Three,NASHUA ST,42.36769032,-71.06586347,"(42.36769032, -71.06586347)"
7,7,I192078645,1402,Vandalism,VANDALISM,B3,450,,2019-09-29 06:00:00,2019,9,Sunday,6,Part Two,ASPINWALL RD,42.2918158,-71.07244098,"(42.29181580, -71.07244098)"
8,8,I192078645,3301,Verbal Disputes,VERBAL DISPUTE,B3,450,,2019-09-29 06:00:00,2019,9,Sunday,6,Part Three,ASPINWALL RD,42.2918158,-71.07244098,"(42.29181580, -71.07244098)"
9,9,I192078642,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,D4,269,,2019-09-29 05:50:00,2019,9,Sunday,5,Part Three,ALBANY ST,42.33241896,-71.07501315,"(42.33241896, -71.07501315)"
10,10,I192078640,3115,Investigate Person,INVESTIGATE PERSON,A7,28,,2019-09-29 01:30:00,2019,9,Sunday,1,Part Three,PARIS ST,42.37339168,-71.03647779,"(42.37339168, -71.03647779)"
11,11,I192078638,1402,Vandalism,VANDALISM,A1,75,,2019-09-29 04:46:00,2019,9,Sunday,4,Part Two,CAUSEWAY ST,42.36433126,-71.06319318,"(42.36433126, -71.06319318)"
12,12,I192078638,423,Aggravated Assault,ASSAULT - AGGRAVATED,A1,75,,2019-09-29 04:46:00,2019,9,Sunday,4,Part One,CAUSEWAY ST,42.36433126,-71.06319318,"(42.36433126, -71.06319318)"
